ano,mes,cnpj_basico,instituicao,agencias_processadas
2018,9,60701190,ITAÚ UNIBANCO S.A.,19
2018,10,60746948,BCO BRADESCO S.A.,26
2018,10,33479023,BCO CITIBANK S.A.,1
2018,10,00000000,BCO DO BRASIL S.A.,16
2018,10,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,10,58160789,BCO SAFRA S.A.,1
2018,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,10,00360305,CAIXA ECONOMICA FEDERAL,14
2018,10,60701190,ITAÚ UNIBANCO S.A.,19
2018,11,60746948,BCO BRADESCO S.A.,26
2018,11,33479023,BCO CITIBANK S.A.,1
2018,11,00000000,BCO DO BRASIL S.A.,16
2018,11,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,11,58160789,BCO SAFRA S.A.,1
2018,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,11,00360305,CAIXA ECONOMICA FEDERAL,14
2018,11,60701190,ITAÚ UNIBANCO S.A.,19
2018,12,60746948,BCO BRADESCO S.A.,26
2018,12,33479023,BCO CITIBANK S.A.,1
2018,12,00000000,BCO DO BRASIL S.A.,16
2018,12,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,12,58160789,BCO SAFRA S.A.,1
2018,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,12,00360305,CAIXA ECONOMICA FEDERAL,14
2018,12,60701190,ITAÚ UNIBANCO S.A.,19
2019,1,60746948,BCO BRADESCO S.A.,26
2019,1,33479023,BCO CITIBANK S.A.,1
2019,1,00000000,BCO DO BRASIL S.A.,16
2019,1,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,1,58160789,BCO SAFRA S.A.,1
2019,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,1,00360305,CAIXA ECONOMICA FEDERAL,14
2019,1,60701190,ITAÚ UNIBANCO S.A.,19
2019,2,60746948,BCO BRADESCO S.A.,26
2019,2,33479023,BCO CITIBANK S.A.,1
2019,2,00000000,BCO DO BRASIL S.A.,16
2019,2,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,2,58160789,BCO SAFRA S.A.,1
2019,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,2,00360305,CAIXA ECONOMICA FEDERAL,14
2019,2,60701190,ITAÚ UNIBANCO S.A.,19
2019,3,60746948,BCO BRADESCO S.A.,26
2019,3,33479023,BCO CITIBANK S.A.,1
2019,3,00000000,BCO DO BRASIL S.A.,16
2019,3,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,3,58160789,BCO SAFRA S.A.,1
2019,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,3,00360305,CAIXA ECONOMICA FEDERAL,14
2019,3,60701190,ITAÚ UNIBANCO S.A.,19
2019,4,60746948,BCO BRADESCO S.A.,26
2019,4,33479023,BCO CITIBANK S.A.,1
2019,4,00000000,BCO DO BRASIL S.A.,16
2019,4,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,4,58160789,BCO SAFRA S.A.,1
2019,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,4,00360305,CAIXA ECONOMICA FEDERAL,14
